id,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold
426,376.11,0,1.99,471,"Amazon Digital Services,  Inc.",5103
427,1510.11,906.066,7.99,472,Random House LLC,5103
428,565.11,339.066,2.99,472,Random House LLC,5103
429,750.12,0,3.99,473,"Amazon Digital Services,  Inc.",5076
430,186.12,0,0.99,474,"Amazon Digital Services,  Inc.",5076
431,185.13,0,0.99,475,"Amazon Digital Services,  Inc.",5049
432,746.13,0,3.99,476,"Amazon Digital Services,  Inc.",5049
433,184.14,110.484,0.99,477,"Amazon Digital Services,  Inc.",5022
434,1114.14,668.484,5.99,478,Penguin Group (USA) LLC,5022
435,553.15,331.89,2.99,479,"Amazon Digital Services,  Inc.",4995
436,550.16,330.096,2.99,482,Macmillan,4968
437,181.17,0,0.99,483,"Amazon Digital Services,  Inc.",4941
438,544.18,326.508,2.99,485,Hachette Book Group,4914
439,1243.06,745.836,6.83,486,Penguin Group (USA) LLC,4914
440,903.19,0,4.99,488,"Amazon Digital Services,  Inc.",4887
441,1726.2,1035.72,9.59,489,Macmillan,4860
442,177.21,106.326,0.99,491,"Amazon Digital Services,  Inc.",4833
443,2280.46,1368.276,12.74,492,Hachette Book Group,4833
444,176.22,0,0.99,493,"Amazon Digital Services,  Inc.",4806
445,532.22,319.332,2.99,493,Hachette Book Group,4806
446,354.22,212.532,1.99,493,Hachette Book Group,4806
447,1242.44,745.464,6.98,494,"Amazon Digital Services,  Inc.",4806
448,175.23,105.138,0.99,495,"Amazon Digital Services,  Inc.",4779
449,350.24,0,1.99,497,"Amazon Digital Services,  Inc.",4752
450,702.24,421.344,3.99,497,"Amazon Digital Services,  Inc.",4752
451,1230.24,738.144,6.99,498,HarperCollins Publishers,4752
452,523.25,0,2.99,499,"Amazon Digital Services,  Inc.",4725
453,868.26,0,4.99,502,"Amazon Digital Services,  Inc.",4698
454,1216.26,729.756,6.99,502,Simon and Schuster Digital Sales Inc,4698
455,1346.76,808.056,7.74,503,"Amazon Digital Services,  Inc.",4698
456,1842.45,1105.47,10.65,505,Random House LLC,4671
457,344.27,206.562,1.99,505,"Amazon Digital Services,  Inc.",4671
458,171.27,0,0.99,508,"Amazon Digital Services,  Inc.",4671
459,517.27,310.362,2.99,509,Simon and Schuster Digital Sales Inc,4671
460,170.28,102.168,0.99,511,"Amazon Digital Services,  Inc.",4644
461,1632.28,979.368,9.49,513,Penguin Group (USA) LLC,4644
462,340.29,0,1.99,514,"Amazon Digital Services,  Inc.",4617
463,1024.29,0,5.99,514,"Amazon Digital Services,  Inc.",4617
464,1879.29,1127.574,10.99,516,Macmillan,4617
465,1109.79,665.874,6.49,517,Hachette Book Group,4617
466,648.09,388.854,3.79,517,Hachette Book Group,4617
467,340.29,0,1.99,518,"Amazon Digital Services,  Inc.",4617
468,508.3,304.98,2.99,519,Penguin Group (USA) LLC,4590
469,678.3,0,3.99,519,"Amazon Digital Services,  Inc.",4590
470,848.3,0,4.99,520,"Amazon Digital Services,  Inc.",4590
471,1688.31,1012.986,9.99,523,Simon and Schuster Digital Sales Inc,4563
472,1350.31,810.186,7.99,524,Random House LLC,4563
473,674.31,404.586,3.99,524,"Amazon Digital Services,  Inc.",4563
474,167.31,100.386,0.99,524,"Amazon Digital Services,  Inc.",4563
475,2153.06,1291.836,12.74,525,Macmillan,4563
476,1294.54,776.724,7.66,526,Simon and Schuster Digital Sales Inc,4563
477,1843.79,1106.274,10.91,526,Macmillan,4563
478,1342.32,805.392,7.99,528,HarperCollins Publishers,4536
479,166.32,0,0.99,530,"Amazon Digital Services,  Inc.",4536
480,1291.92,775.152,7.69,531,Penguin Group (USA) LLC,4536
481,332.33,199.398,1.99,532,HarperCollins Publishers,4509
482,165.33,0,0.99,534,"Amazon Digital Services,  Inc.",4509
483,1985.63,1191.378,11.89,535,HarperCollins Publishers,4509
484,833.33,499.998,4.99,535,"Amazon Digital Services,  Inc.",4509
485,1835.33,1101.198,10.99,536,Random House LLC,4509
486,1152.04,691.224,6.94,537,Random House LLC,4482
487,164.34,0,0.99,538,"Amazon Digital Services,  Inc.",4482
488,1226.74,0,7.39,539,"Amazon Digital Services,  Inc.",4482
489,1153.35,692.01,6.99,541,Penguin Group (USA) LLC,4455
490,823.35,494.01,4.99,542,"Amazon Digital Services,  Inc.",4455
491,163.35,98.01,0.99,543,Hachette Book Group,4455
492,823.35,494.01,4.99,544,Hachette Book Group,4455
493,1757.25,1054.35,10.65,545,Penguin Group (USA) LLC,4455
494,162.36,0,0.99,546,"Amazon Digital Services,  Inc.",4428
495,1746.6,1047.96,10.65,547,Penguin Group (USA) LLC,4428
496,162.36,97.416,0.99,549,"Amazon Digital Services,  Inc.",4428
497,162.36,0,0.99,549,"Amazon Digital Services,  Inc.",4428
498,162.36,97.416,0.99,550,"Amazon Digital Services,  Inc.",4428
499,324.37,194.622,1.99,551,"Amazon Digital Services,  Inc.",4401
500,813.37,488.022,4.99,551,Penguin Group (USA) LLC,4401
501,1470.26,882.156,9.02,553,Random House LLC,4401
502,161.37,96.822,0.99,554,"Amazon Digital Services,  Inc.",4401
503,322.38,193.428,1.99,557,"Amazon Digital Services,  Inc.",4374
504,322.38,193.428,1.99,557,"Amazon Digital Services,  Inc.",4374
505,160.38,96.228,0.99,558,"Amazon Digital Services,  Inc.",4374
506,320.39,192.234,1.99,561,Random House LLC,4347
507,642.39,385.434,3.99,561,Hachette Book Group,4347
508,615.02,369.012,3.82,562,"Amazon Digital Services,  Inc.",4347
509,478.4,287.04,2.99,565,Macmillan,4320
510,1438.4,863.04,8.99,565,Penguin Group (USA) LLC,4320
511,478.4,0,2.99,566,"Amazon Digital Services,  Inc.",4320
512,478.4,0,2.99,567,"Amazon Digital Services,  Inc.",4320
513,1598.4,959.04,9.99,568,Random House LLC,4320
514,475.41,0,2.99,570,"Amazon Digital Services,  Inc.",4293
515,157.41,0,0.99,571,"Amazon Digital Services,  Inc.",4293
516,475.41,0,2.99,572,"Amazon Digital Services,  Inc.",4293
517,634.41,380.646,3.99,572,Hachette Book Group,4293
518,314.42,188.652,1.99,574,Simon and Schuster Digital Sales Inc,4266
519,1136.02,681.612,7.19,575,"Amazon Digital Services,  Inc.",4266
520,472.42,283.452,2.99,576,"Amazon Digital Services,  Inc.",4266
521,1420.42,852.252,8.99,577,HarperCollins Publishers,4266
522,469.43,0,2.99,578,"Amazon Digital Services,  Inc.",4239
523,155.43,0,0.99,580,"Amazon Digital Services,  Inc.",4239
524,1474.23,884.538,9.39,581,"Amazon Digital Services,  Inc.",4239
525,154.44,0,0.99,585,"Amazon Digital Services,  Inc.",4212
526,778.44,467.064,4.99,585,Random House LLC,4212
527,669.24,401.544,4.29,586,HarperCollins Publishing,4212
528,2106.45,1263.87,13.59,589,HarperCollins Publishers,4185
529,618.45,0,3.99,589,"Amazon Digital Services,  Inc.",4185
530,1230.46,738.276,7.99,591,Penguin Group (USA) LLC,4158
531,614.46,0,3.99,592,"Amazon Digital Services,  Inc.",4158
532,460.46,0,2.99,594,"Amazon Digital Services,  Inc.",4158
533,768.46,0,4.99,594,"Amazon Digital Services,  Inc.",4158
534,1167.32,700.392,7.58,595,Penguin Group (USA) LLC,4158
535,610.47,0,3.99,596,"Amazon Digital Services,  Inc.",4131
536,151.47,90.882,0.99,597,"Amazon Digital Services,  Inc.",4131
537,151.47,0,0.99,598,"Amazon Digital Services,  Inc.",4131
538,1176.57,705.942,7.69,600,Penguin Group (USA) LLC,4131
539,1618.8,971.28,10.65,601,Penguin Group (USA) LLC,4104
540,1111.12,666.672,7.31,603,Penguin Group (USA) LLC,4104
541,910.48,546.288,5.99,603,Simon and Schuster Digital Sales Inc,4104
542,149.49,0,0.99,605,"Amazon Digital Services,  Inc.",4077
543,151,90.6,1,607,"Amazon Digital Services,  Inc.",4077
544,661.38,396.828,4.38,608,"Amazon Digital Services,  Inc.",4077
545,1508.49,905.094,9.99,608,"Amazon Digital Services,  Inc.",4077
546,1125,675,7.5,610,Penguin Group (USA) LLC,4050
547,598.5,0,3.99,611,"Amazon Digital Services,  Inc.",4050
548,594.51,356.706,3.99,615,Penguin Group (USA) LLC,4023
549,594.51,356.706,3.99,615,Simon and Schuster Digital Sales Inc,4023
550,1488.51,893.106,9.99,616,HarperCollins Publishing,4023
551,594.51,0,3.99,616,"Amazon Digital Services,  Inc.",4023
552,1427.42,856.452,9.58,617,"Amazon Digital Services,  Inc.",4023
553,1144.04,686.424,7.73,619,Macmillan,3996
554,146.52,0,0.99,620,"Amazon Digital Services,  Inc.",3996
555,442.52,0,2.99,622,"Amazon Digital Services,  Inc.",3996
556,145.53,87.318,0.99,624,"Amazon Digital Services,  Inc.",3969
557,1997.73,1198.638,13.59,624,HarperCollins Publishers,3969
558,145.53,0,0.99,625,"Amazon Digital Services,  Inc.",3969
559,439.53,0,2.99,625,"Amazon Digital Services,  Inc.",3969
560,439.53,263.718,2.99,626,"Amazon Digital Services,  Inc.",3969
561,1074.57,644.742,7.31,627,Penguin Group (USA) LLC,3969
562,675.98,405.588,4.63,628,Hachette Book Group,3942
563,582.54,0,3.99,629,"Amazon Digital Services,  Inc.",3942
564,1097.92,658.752,7.52,629,"Amazon Digital Services,  Inc.",3942
565,1166.54,699.924,7.99,630,Random House LLC,3942
566,1251.22,750.732,8.57,631,"Amazon Digital Services,  Inc.",3942
567,144.54,0,0.99,631,"Amazon Digital Services,  Inc.",3942
568,665.55,399.33,4.59,632,Penguin Group (USA) LLC,3915
569,723.55,0,4.99,632,"Amazon Digital Services,  Inc.",3915
570,990.35,594.21,6.83,634,Simon and Schuster Digital Sales Inc,3915
571,1448.55,869.13,9.99,635,"Amazon Digital Services,  Inc.",3915
572,868.55,521.13,5.99,636,Hachette Book Group,3915
573,1134.72,680.832,7.88,637,Hachette Book Group,3888
574,570.57,0,3.99,641,"Amazon Digital Services,  Inc.",3861
575,1428.57,857.142,9.99,642,Penguin Group (USA) LLC,3861
576,1072.5,643.5,7.5,645,Random House LLC,3861
577,708.58,0,4.99,646,"Amazon Digital Services,  Inc.",3834
578,1560.58,936.348,10.99,647,Penguin Group (USA) LLC,61560
579,969.86,581.916,6.83,649,Random House LLC,61128
580,562.59,0,3.99,651,"Amazon Digital Services,  Inc.",61128
581,139.59,83.754,0.99,652,Random House LLC,60696
582,1030.71,618.426,7.31,652,Penguin Group (USA) LLC,59400
583,562.59,0,3.99,653,"Amazon Digital Services,  Inc.",58968
584,558.6,0,3.99,655,"Amazon Digital Services,  Inc.",57240
585,418.6,251.16,2.99,658,"Amazon Digital Services,  Inc.",56808
586,1398.6,839.16,9.99,658,"Amazon Digital Services,  Inc.",55728
587,698.6,0,4.99,659,"Amazon Digital Services,  Inc.",55080
588,137.61,0,0.99,661,"Amazon Digital Services,  Inc.",54000
589,693.61,0,4.99,663,"Amazon Digital Services,  Inc.",53784
590,725.88,435.528,5.26,665,Penguin Group (USA) LLC,53784
591,1516.62,909.972,10.99,666,Penguin Group (USA) LLC,53784
592,957.72,574.632,6.94,668,Random House LLC,53568
593,1094.63,656.778,7.99,671,Hachette Book Group,53352
594,836.4,501.84,6.15,675,"Amazon Digital Services,  Inc.",53352
595,1225.36,0,9.01,675,"Amazon Digital Services,  Inc.",53136
596,542.64,0,3.99,676,"Amazon Digital Services,  Inc.",52920
597,133.65,0,0.99,679,"Amazon Digital Services,  Inc.",52488
598,538.65,0,3.99,680,"Amazon Digital Services,  Inc.",52488
599,808.65,485.19,5.99,681,Random House LLC,52488
600,873.68,524.208,6.52,682,"Amazon Digital Services,  Inc.",52056
601,1191.26,714.756,8.89,684,Hachette Book Group,52056
602,663.67,0,4.99,688,"Amazon Digital Services,  Inc.",51840
603,530.67,0,3.99,689,"Amazon Digital Services,  Inc.",51624
604,397.67,238.602,2.99,690,Random House LLC,51408
605,394.68,0,2.99,692,"Amazon Digital Services,  Inc.",51192
606,394.68,0,2.99,692,"Amazon Digital Services,  Inc.",51192
607,394.68,236.808,2.99,693,"Amazon Digital Services,  Inc.",50976
608,790.68,0,5.99,693,"Amazon Digital Services,  Inc.",50760
609,526.68,0,3.99,693,"Amazon Digital Services,  Inc.",50544
610,130.68,78.408,0.99,694,"Amazon Digital Services,  Inc.",50328
611,327.36,196.416,2.48,694,Random House LLC,50112
612,394.68,0,2.99,695,"Amazon Digital Services,  Inc.",49896
613,260.69,156.414,1.99,696,Simon and Schuster Digital Sales Inc,49896
614,1395.15,837.09,10.65,698,Hachette Book Group,49680
615,129.69,77.814,0.99,699,"Amazon Digital Services,  Inc.",49680
616,260.69,156.414,1.99,700,HarperCollins Publishers,49248
617,492.7,295.62,3.79,701,Macmillan,49032
618,258.7,155.22,1.99,703,Random House LLC,48816
619,1656.2,993.72,12.74,704,Macmillan,48816
620,514.71,0,3.99,705,"Amazon Digital Services,  Inc.",48600
621,127.71,0,0.99,707,"Amazon Digital Services,  Inc.",48384
622,127.71,76.626,0.99,707,"Amazon Digital Services,  Inc.",48168
623,127.71,0,0.99,708,"Amazon Digital Services,  Inc.",47952
624,127.71,0,0.99,709,"Amazon Digital Services,  Inc.",47736
625,885.76,531.456,6.92,710,Penguin Group (USA) LLC,47520
626,888.32,532.992,6.94,710,"Amazon Digital Services,  Inc.",47520
627,1470.72,882.432,11.49,711,Random House LLC,47304
628,787.2,472.32,6.15,712,"Amazon Digital Services,  Inc.",47304
629,126.72,76.032,0.99,713,"Amazon Digital Services,  Inc.",47088
630,1153.28,691.968,9.01,713,HarperCollins Publishers,47088
631,843.28,505.968,6.64,714,Hachette Book Group,46872
632,1395.73,837.438,10.99,716,Penguin Group (USA) LLC,46872
633,125.73,75.438,0.99,716,"Amazon Digital Services,  Inc.",46872
634,506.73,0,3.99,717,"Amazon Digital Services,  Inc.",46440
635,502.74,0,3.99,719,"Amazon Digital Services,  Inc.",46440
636,124.74,0,0.99,720,"Amazon Digital Services,  Inc.",46008
637,1198.75,719.25,9.59,724,HarperCollins Publishers,46008
638,1127.5,676.5,9.02,725,Random House LLC,46008
639,122.76,73.656,0.99,728,"Amazon Digital Services,  Inc.",45792
640,370.76,0,2.99,730,"Amazon Digital Services,  Inc.",45576
641,121.77,73.062,0.99,733,"Amazon Digital Services,  Inc.",45360
642,121.77,73.062,0.99,736,Random House LLC,45144
643,974.78,584.868,7.99,737,Random House LLC,44928
644,120.78,72.468,0.99,738,Simon and Schuster Digital Sales Inc,44280
645,1096.78,658.068,8.99,739,Random House LLC,43848
646,486.78,292.068,3.99,740,"Amazon Digital Services,  Inc.",43848
647,966.79,580.074,7.99,741,Random House LLC,43416
648,930.49,558.294,7.69,743,Penguin Group (USA) LLC,43416
649,119.79,71.874,0.99,743,"Amazon Digital Services,  Inc.",43416
650,671.55,402.93,5.55,745,"Amazon Digital Services,  Inc.",43200
651,118.8,0,0.99,746,"Amazon Digital Services,  Inc.",42768
652,118.8,71.28,0.99,748,"Amazon Digital Services,  Inc.",42552
653,118.8,71.28,0.99,750,"Amazon Digital Services,  Inc.",42120
654,950.81,570.486,7.99,751,Random House LLC,42120
655,117.81,70.686,0.99,752,"Amazon Digital Services,  Inc.",41904
656,912.73,547.638,7.67,753,Random House LLC,41472
657,355.81,0,2.99,757,"Amazon Digital Services,  Inc.",41256
658,117.81,0,0.99,759,"Amazon Digital Services,  Inc.",40824
659,712.81,427.686,5.99,760,Penguin Group (USA) LLC,40824
660,117.81,70.686,0.99,760,"Amazon Digital Services,  Inc.",40176
661,236.81,142.086,1.99,761,"Amazon Digital Services,  Inc.",40176
662,712.81,427.686,5.99,762,Macmillan,39960
663,474.81,0,3.99,764,"Amazon Digital Services,  Inc.",39744
664,355.81,0,2.99,764,"Amazon Digital Services,  Inc.",39312
665,355.81,0,2.99,765,"Amazon Digital Services,  Inc.",39312
666,1188.81,713.286,9.99,765,Hachette Book Group,38880
667,355.81,213.486,2.99,766,"Amazon Digital Services,  Inc.",38664
668,117.81,0,0.99,767,"Amazon Digital Services,  Inc.",38664
669,593.81,0,4.99,768,"Amazon Digital Services,  Inc.",38448
670,117.81,70.686,0.99,770,"Amazon Digital Services,  Inc.",38448
671,784.21,470.526,6.59,770,"Amazon Digital Services,  Inc.",38448
672,1082.9,649.74,9.1,770,"Amazon Digital Services,  Inc.",38232
673,117.81,70.686,0.99,772,Macmillan,38016
674,117.81,70.686,0.99,773,"Amazon Digital Services,  Inc.",38016
675,915.11,549.066,7.69,775,Random House LLC,37584
676,355.81,0,2.99,779,"Amazon Digital Services,  Inc.",37584
677,640.22,384.132,5.38,779,HarperCollins Publishers,37368
678,1307.81,784.686,10.99,781,Random House LLC,37368
679,117.81,70.686,0.99,782,"Amazon Digital Services,  Inc.",37368
680,593.81,0,4.99,783,"Amazon Digital Services,  Inc.",37152
681,355.81,0,2.99,783,"Amazon Digital Services,  Inc.",37152
682,1022.21,613.326,8.59,784,"Amazon Digital Services,  Inc.",36936
683,117.81,0,0.99,786,"Amazon Digital Services,  Inc.",36936
684,355.81,213.486,2.99,786,Simon and Schuster Digital Sales Inc,36936
685,950.81,570.486,7.99,787,HarperCollins Christian Publishing,36720
686,357.54,214.524,3.03,789,"Amazon Digital Services,  Inc.",36504
687,352.82,0,2.99,791,"Amazon Digital Services,  Inc.",36504
688,116.82,70.092,0.99,792,"Amazon Digital Services,  Inc.",36504
689,862.58,517.548,7.31,792,HarperCollins Publishers,36504
690,862.58,517.548,7.31,794,Penguin Group (USA) LLC,36504
691,352.82,211.692,2.99,797,"Amazon Digital Services,  Inc.",36504
692,1060.82,636.492,8.99,797,HarperCollins Publishers,36504
693,352.82,0,2.99,798,"Amazon Digital Services,  Inc.",36288
694,116.82,0,0.99,799,"Amazon Digital Services,  Inc.",36288
695,1320.42,792.252,11.19,800,HarperCollins Publishers,36072
696,761.1,456.66,6.45,802,Simon and Schuster Digital Sales Inc,36072
697,654.9,392.94,5.55,802,"Amazon Digital Services,  Inc.",36072
698,116.82,70.092,0.99,803,"Amazon Digital Services,  Inc.",36072
699,116.82,70.092,0.99,804,Random House LLC,35856
700,824.82,494.892,6.99,804,Hachette Book Group,35640
701,1060.82,636.492,8.99,805,Random House LLC,35640
702,706.82,424.092,5.99,808,Penguin Group (USA) LLC,35640
703,502.68,301.608,4.26,809,HarperCollins Publishing,35640
704,1131.62,678.972,9.59,810,Penguin Group (USA) LLC,35640
705,234.82,140.892,1.99,810,Simon and Schuster Digital Sales Inc,35424
706,588.82,0,4.99,811,"Amazon Digital Services,  Inc.",35424
707,1680.32,1008.192,14.24,811,Penguin Group (USA) LLC,35424
708,1128.08,676.848,9.56,813,Simon and Schuster Digital Sales Inc,35208
709,352.82,211.692,2.99,814,"Amazon Digital Services,  Inc.",35208
710,872.02,523.212,7.39,816,"Amazon Digital Services,  Inc.",35208
711,470.82,282.492,3.99,818,"Amazon Digital Services,  Inc.",35208
712,824.82,494.892,6.99,818,Random House LLC,34992
713,352.82,0,2.99,819,"Amazon Digital Services,  Inc.",34992
714,942.82,565.692,7.99,820,Penguin Group (USA) LLC,34992
715,470.82,0,3.99,821,"Amazon Digital Services,  Inc.",34776
716,588.82,0,4.99,823,"Amazon Digital Services,  Inc.",34776
717,234.82,140.892,1.99,823,"Amazon Digital Services,  Inc.",34776
718,234.82,140.892,1.99,824,"Amazon Digital Services,  Inc.",34560
719,725.7,435.42,6.15,825,"Amazon Digital Services,  Inc.",34560
720,466.83,0,3.99,826,"Amazon Digital Services,  Inc.",34560
721,934.83,560.898,7.99,827,Random House LLC,34344
722,349.83,209.898,2.99,830,"Amazon Digital Services,  Inc.",34128
723,349.83,209.898,2.99,831,"Amazon Digital Services,  Inc.",34128
724,115.83,0,0.99,832,"Amazon Digital Services,  Inc.",34128
725,232.83,139.698,1.99,832,HarperCollins Publishers,34128
726,232.83,139.698,1.99,834,"Amazon Digital Services,  Inc.",33912
727,855.27,513.162,7.31,836,Random House LLC,33696
728,1519.83,911.898,12.99,836,"Amazon Digital Services,  Inc.",33696
729,466.83,0,3.99,837,"Amazon Digital Services,  Inc.",33480
730,700.83,420.498,5.99,837,HarperCollins Publishers,33264
731,115.83,0,0.99,838,"Amazon Digital Services,  Inc.",33264
732,1689.48,1013.688,14.44,840,HarperCollins Publishers,33048
733,349.83,209.898,2.99,841,Macmillan,33048
734,583.83,350.298,4.99,842,Hachette Book Group,32832
735,1170,702,10,843,"Amazon Digital Services,  Inc.",32832
736,1402.83,841.698,11.99,844,Penguin Group (USA) LLC,32832
737,115.83,0,0.99,845,"Amazon Digital Services,  Inc.",32616
738,349.83,0,2.99,846,"Amazon Digital Services,  Inc.",32616
739,1084.59,650.754,9.27,846,Penguin Group (USA) LLC,32616
740,232.83,139.698,1.99,848,"Amazon Digital Services,  Inc.",32400
741,466.83,0,3.99,852,"Amazon Digital Services,  Inc.",32184
742,349.83,0,2.99,852,"Amazon Digital Services,  Inc.",32184
743,466.83,0,3.99,853,"Amazon Digital Services,  Inc.",32184
744,1391.13,834.678,11.89,854,Simon and Schuster Digital Sales Inc,32184
745,232.83,139.698,1.99,857,Hachette Book Group,31968
746,799.11,479.466,6.83,859,Macmillan,31752
747,349.83,0,2.99,860,"Amazon Digital Services,  Inc.",31752
748,583.83,350.298,4.99,862,Penguin Group (USA) LLC,31752
749,114.84,0,0.99,863,"Amazon Digital Services,  Inc.",31752
750,624.08,374.448,5.38,865,"Amazon Digital Services,  Inc.",31536
751,694.84,0,5.99,866,"Amazon Digital Services,  Inc.",31536
752,892.04,535.224,7.69,867,Random House LLC,31536
753,346.84,0,2.99,868,"Amazon Digital Services,  Inc.",31536
754,462.84,0,3.99,869,"Amazon Digital Services,  Inc.",31320
755,114.84,68.904,0.99,869,Random House LLC,31320
756,1158.84,695.304,9.99,871,Penguin Group (USA) LLC,31320
757,462.84,277.704,3.99,871,Hachette Book Group,31320
758,230.84,138.504,1.99,873,Random House LLC,31104
759,462.84,277.704,3.99,877,"Amazon Digital Services,  Inc.",30888
760,694.84,0,5.99,879,"Amazon Digital Services,  Inc.",30888
761,770.24,462.144,6.64,879,Hachette Book Group,30672
762,114.84,68.904,0.99,881,"Amazon Digital Services,  Inc.",30672
763,694.84,416.904,5.99,883,"Amazon Digital Services,  Inc.",30456
764,114.84,68.904,0.99,884,"Amazon Digital Services,  Inc.",30456
765,114.84,68.904,0.99,885,"Amazon Digital Services,  Inc.",30240
766,114.84,0,0.99,886,"Amazon Digital Services,  Inc.",30240
767,810.84,486.504,6.99,886,Simon and Schuster Digital Sales Inc,29808
768,346.84,0,2.99,887,"Amazon Digital Services,  Inc.",29808
769,114.84,0,0.99,890,"Amazon Digital Services,  Inc.",29808
770,114.84,68.904,0.99,892,"Amazon Digital Services,  Inc.",29592
771,462.84,0,3.99,892,"Amazon Digital Services,  Inc.",29376
772,1042.84,625.704,8.99,893,"Amazon Digital Services,  Inc.",29160
773,1041.68,625.008,8.98,894,"Amazon Digital Services,  Inc.",28944
774,1506.84,904.104,12.99,894,Simon and Schuster Digital Sales Inc,28944
775,784.16,470.496,6.76,897,"Amazon Digital Services,  Inc.",28728
776,346.84,0,2.99,898,"Amazon Digital Services,  Inc.",28512
777,1158.84,695.304,9.99,900,Simon and Schuster Digital Sales Inc,28512
778,926.84,556.104,7.99,900,Random House LLC,28512
779,458.85,0,3.99,903,"Amazon Digital Services,  Inc.",28296
780,1367.35,820.41,11.89,904,Simon and Schuster Digital Sales Inc,28296
781,573.85,0,4.99,905,"Amazon Digital Services,  Inc.",28296
782,343.85,0,2.99,907,"Amazon Digital Services,  Inc.",2943
783,1033.85,620.31,8.99,909,HarperCollins Publishers,2943
784,343.85,0,2.99,909,"Amazon Digital Services,  Inc.",2943
785,343.85,0,2.99,910,"Amazon Digital Services,  Inc.",2943
786,573.85,0,4.99,911,"Amazon Digital Services,  Inc.",2916
787,343.85,206.31,2.99,913,HarperCollins Publishers,2916
788,458.85,0,3.99,914,"Amazon Digital Services,  Inc.",2916
789,1263.85,758.31,10.99,914,Random House LLC,2916
790,458.85,0,3.99,915,"Amazon Digital Services,  Inc.",2916
791,343.85,0,2.99,916,"Amazon Digital Services,  Inc.",2916
792,343.85,206.31,2.99,917,"Amazon Digital Services,  Inc.",2916
793,458.85,0,3.99,918,"Amazon Digital Services,  Inc.",2916
794,803.85,482.31,6.99,920,Penguin Group (USA) LLC,2916
795,930.35,558.21,8.09,921,Penguin Group (USA) LLC,2916
796,113.85,68.31,0.99,922,"Amazon Digital Services,  Inc.",2916
797,573.85,344.31,4.99,924,"Amazon Digital Services,  Inc.",2916
798,1269.6,761.76,11.04,926,HarperCollins Publishers,2916
799,884.35,530.61,7.69,927,Random House LLC,2916
800,113.85,68.31,0.99,930,"Amazon Digital Services,  Inc.",2916
801,573.85,344.31,4.99,931,Simon and Schuster Digital Sales Inc,2916
802,573.85,344.31,4.99,933,Macmillan,2916
803,113.85,0,0.99,936,"Amazon Digital Services,  Inc.",2916
804,343.85,0,2.99,937,"Amazon Digital Services,  Inc.",2916
805,910.86,546.516,7.99,938,"Amazon Digital Services,  Inc.",2916
806,1366.86,820.116,11.99,939,Penguin Group (USA) LLC,2916
807,1366.86,820.116,11.99,941,Random House LLC,2916
808,340.86,204.516,2.99,943,"Amazon Digital Services,  Inc.",2916
809,568.86,0,4.99,944,"Amazon Digital Services,  Inc.",2916
810,112.86,0,0.99,946,"Amazon Digital Services,  Inc.",2916
811,910.86,546.516,7.99,947,"Amazon Digital Services,  Inc.",2916
812,112.86,67.716,0.99,949,"Amazon Digital Services,  Inc.",2916
813,876.66,525.996,7.69,950,Random House LLC,2916
814,226.86,0,1.99,952,"Amazon Digital Services,  Inc.",2916
815,568.86,341.316,4.99,952,Macmillan,2916
816,568.86,0,4.99,953,"Amazon Digital Services,  Inc.",2916
817,112.86,67.716,0.99,955,"Amazon Digital Services,  Inc.",2916
818,226.86,136.116,1.99,956,HarperCollins Publishers,2889
819,876.66,525.996,7.69,957,Penguin Group (USA) LLC,2889
820,340.86,204.516,2.99,958,"Amazon Digital Services,  Inc.",2889
821,1366.86,820.116,11.99,960,Penguin Group (USA) LLC,2889
822,397.86,0,3.49,961,"Amazon Digital Services,  Inc.",2889
823,568.86,341.316,4.99,963,Random House LLC,2889
824,340.86,0,2.99,963,"Amazon Digital Services,  Inc.",2889
825,454.86,272.916,3.99,966,"Amazon Digital Services,  Inc.",2889
826,856.14,513.684,7.51,967,Penguin Group (USA) LLC,2889
827,340.86,204.516,2.99,968,Simon and Schuster Digital Sales Inc,2889
828,345.42,0,3.03,968,"Amazon Digital Services,  Inc.",2889
829,844.74,506.844,7.41,969,Macmillan,2889
830,228,0,2,970,"Amazon Digital Services,  Inc.",2889
831,597.36,358.416,5.24,970,"Amazon Digital Services,  Inc.",2889
832,778.62,467.172,6.83,971,Simon and Schuster Digital Sales Inc,2889
833,910.86,546.516,7.99,971,Random House LLC,2889
834,454.86,0,3.99,972,"Amazon Digital Services,  Inc.",2889
835,454.86,0,3.99,973,"Amazon Digital Services,  Inc.",2889
836,746.7,448.02,6.55,973,Macmillan,2889
837,1220.4,732.24,10.8,977,HarperCollins Publishers,2889
838,431.66,258.996,3.82,980,"Amazon Digital Services,  Inc.",2889
839,902.87,541.722,7.99,981,Hachette Book Group,2889
840,563.87,0,4.99,982,"Amazon Digital Services,  Inc.",2889
841,1128.87,677.322,9.99,984,"Amazon Digital Services,  Inc.",2889
842,450.87,0,3.99,985,"Amazon Digital Services,  Inc.",2889
843,450.87,0,3.99,986,"Amazon Digital Services,  Inc.",2889
844,1241.87,745.122,10.99,988,Random House LLC,2889
845,111.87,67.122,0.99,990,"Amazon Digital Services,  Inc.",2889
846,169.5,101.7,1.5,992,HarperCollins Publishers,2889
847,450.87,270.522,3.99,993,Simon and Schuster Digital Sales Inc,2862
848,1388.77,833.262,12.29,993,HarperCollins Publishers,2862
